metric,favor_dir,g1_mean,g1_median,g2_mean,g2_median,diff_g2_minus_g1_mean,p_two_sided,p_g2_smaller,p_g2_larger,p_favor_g2,cliffs_delta_g1_vs_g2,n1,n2
c2_tbr_iqr,g2_smaller,1.3022457411429162,1.0276426612773002,0.601626527878579,0.5458379762562857,-0.7006192132643373,0.00429524090299667,0.002147620451498335,0.9981929508625507,0.002147620451498335,0.6794871794871795,13,12
d_tbr_max,g2_smaller,54.15756152936357,4.631928280540694,-6.4292113970806914,-6.375585652997504,-60.58677292644426,0.01549999333528876,0.00774999666764438,0.9933358356095913,0.00774999666764438,0.5769230769230769,13,12
c2_tbr_p75,g2_smaller,2.2799689603108977,2.3066564735686876,1.3815435092070132,1.3570689818722896,-0.8984254511038845,0.02398918445441276,0.01199459222720638,0.9896027582229686,0.01199459222720638,0.5384615384615385,13,12
c2_tbr_mean,g2_smaller,2.5956228995786867,1.9642089542903216,1.2678443402916473,1.2264641034617259,-1.3277785592870395,0.0276011217404837,0.01380056087024185,0.9880054077727937,0.01380056087024185,0.5256410256410255,13,12
c2_tbr_leQ33_median_sustain_s,g2_larger,2.0712231538461277,1.9859989999993104,63.00241654999958,2.9923507499998863,60.93119339615345,0.032387173625559526,0.9861537966713834,0.016193586812779763,0.016193586812779763,-0.5384615384615384,13,10
c2_tbr_std,g2_smaller,5.287445176624819,1.0421872542367268,1.3638169950949077,0.5421154809612962,-3.923628181529911,0.04137711560838741,0.020688557804193704,0.9818755290130785,0.020688557804193704,0.4871794871794872,13,12
c2_tbr_median,g2_smaller,1.5058166088805902,1.5349719825261166,1.030745678735315,1.053163293014281,-0.4750709301452751,0.04710684887475331,0.023553424437376656,0.9793114421958063,0.023553424437376656,0.47435897435897445,13,12
d_tbr_leQ33_mean_sustain_s,g2_larger,0.3689079098261191,0.2210310335968484,64.46750743553795,2.923295482501632,64.09859952571183,0.05855366987130325,0.9746225972430685,0.029276834935651624,0.029276834935651624,-0.4769230769230769,13,10
c1_tbr_leQ50_prop_focus,g2_larger,0.5005191653389081,0.5008347245409015,0.500640069928058,0.5008517887563884,0.0001209045891499283,0.06651758053804993,0.970656001717934,0.033258790269024965,0.033258790269024965,-0.4294871794871795,13,12
d_tbr_std,g2_smaller,2.797049233837397,0.2456050709132691,-0.34956438738220125,-0.3730410741843252,-3.1466136212195983,0.0770998717435417,0.03854993587177085,0.9657846275276009,0.03854993587177085,0.42307692307692313,13,12
c2_tbr_max,g2_smaller,84.97646183599925,9.899466785748793,18.456737440839294,5.658097339213213,-66.51972439515995,0.0770998717435417,0.03854993587177085,0.9657846275276009,0.03854993587177085,0.42307692307692313,13,12
c2_tbr_leQ33_mean_sustain_s,g2_larger,5.168257112898918,3.2951576734694923,68.35447117970719,5.781730087601091,63.18621406680827,0.07714537101088105,0.9663385534325644,0.038572685505440525,0.038572685505440525,-0.4461538461538461,13,10
d_tbr_iqr,g2_smaller,0.28579658560249704,0.04887954649856607,-0.11211371338318023,-0.14455773829644414,-0.39791029898567726,0.08664373365473696,0.04332186682736848,0.9614500641282292,0.04332186682736848,0.41025641025641035,13,12
c1_tbr_leQ33_median_gap_s,g2_smaller,4.871199730769303,4.002505000000497,3.95100620833333,3.987102749999991,-0.9201935224359725,0.08664373365473696,0.04332186682736848,0.9614500641282292,0.04332186682736848,0.41025641025641035,13,12
c1_tbr_mean,g2_smaller,1.92153055858002,2.09822540306205,1.4060838323321292,1.153529794594566,-0.5154467262478908,0.09711956168340277,0.048559780841701386,0.9566781331726315,0.048559780841701386,0.39743589743589736,13,12
c1_tbr_iqr,g2_smaller,1.016449155540419,0.9113233878107949,0.7137402412617591,0.6374121883782079,-0.30270891427865987,0.09711956168340277,0.048559780841701386,0.9566781331726315,0.048559780841701386,0.39743589743589736,13,12
d_tbr_leQ50_first_reach_s,g2_smaller,3.897433461539864,-0.9874370000000141,-23.936931800000046,-4.9364139999999805,-27.83436526153991,0.1209454647056578,0.0604727323528289,0.9466114531678563,0.0604727323528289,0.39230769230769225,13,10
c1_tbr_p75,g2_smaller,2.0126022699623394,1.9642170548104563,1.527025716150991,1.2181283663432292,-0.48557655381134834,0.1210945670385861,0.06054728351929305,0.9457077991928627,0.06054728351929305,0.3717948717948718,13,12
c1_tbr_geQ67_mean_sustain_s,g2_larger,3.7031454902844265,2.735939978723459,4.404674355549985,3.420252417105244,0.7015288652655585,0.1210945670385861,0.9457077991928627,0.06054728351929305,0.06054728351929305,-0.3717948717948718,13,12
c1_tbr_geQ67_max_sustain_s,g2_larger,16.89818230769289,11.983236000002535,29.836336333333225,18.462199000000496,12.938154025640337,0.13470504984007844,0.9394527164807069,0.06735252492003922,0.06735252492003922,-0.3589743589743589,13,12
d_tbr_leQ50_max_sustain_s,g2_larger,-7.232009923078858,-2.9859350000011204,117.41358640000003,34.42757949999982,124.64559632307889,0.1628980349177952,0.927498123084933,0.0814490174588976,0.0814490174588976,-0.3538461538461538,13,10
c1_tbr_leQ50_median_gap_s,g2_smaller,3.7679178461536775,3.5355964999994782,3.5789919999999413,3.0261182500000894,-0.1889258461537362,0.16543653405847458,0.08271826702923729,0.9252655533551446,0.08271826702923729,0.33333333333333326,13,12
c1_tbr_median,g2_smaller,1.4375200194840188,1.401272255572516,1.0768474605020097,0.9214884734648254,-0.360672558982009,0.20116781630321023,0.10058390815160512,0.9086724397072774,0.10058390815160512,0.3076923076923077,13,12
c2_tbr_leQ33_max_sustain_s,g2_larger,34.01071330769218,18.972712000004606,134.20703090000217,32.94426900000169,100.19631759230998,0.20360201785036391,0.9087953509163681,0.10180100892518196,0.10180100892518196,-0.32307692307692304,13,10
d_tbr_leQ25_median_sustain_s,g2_larger,4.805309423077167,0.008127499998948906,59.50800084999925,0.7408057499996739,54.70269142692208,0.20360201785036391,0.9087953509163681,0.10180100892518196,0.10180100892518196,-0.32307692307692304,13,10
d_tbr_leQ33_max_sustain_s,g2_larger,9.523277307691037,4.99444199999283,106.45989860000063,20.45600500000085,96.9366212923096,0.20360201785036391,0.9087953509163681,0.10180100892518196,0.10180100892518196,-0.32307692307692304,13,10
c2_tbr_leQ50_max_sustain_s,g2_larger,41.992002000000795,30.97014000001019,164.9167482000027,60.88902450000268,122.9247462000019,0.20360201785036391,0.9087953509163681,0.10180100892518196,0.10180100892518196,-0.32307692307692304,13,10
c2_tbr_p25,g2_smaller,0.9777232191679814,1.1426624787102295,0.7799169813284342,0.8281441060957295,-0.1978062378395472,0.22101309719361817,0.11050654859680908,0.8994160918483949,0.11050654859680908,0.29487179487179493,13,12
c2_tbr_leQ25_mean_sustain_s,g2_larger,10.985689271855698,2.990124941176567,68.0050084243269,5.331173240566272,57.019319152471205,0.22653276315984072,0.898198991074818,0.11326638157992036,0.11326638157992036,-0.3076923076923077,13,10
c2_tbr_leQ25_max_sustain_s,g2_larger,30.16896330769265,11.994610999999736,117.93697960000063,21.468802999999024,87.76801629230798,0.22653276315984072,0.898198991074818,0.11326638157992036,0.11326638157992036,-0.3076923076923077,13,10
c2_tbr_leQ50_mean_sustain_s,g2_larger,6.1885089869093255,5.592119240000135,70.45222593859751,9.886253453781638,64.26371695168818,0.25124885608478764,0.8867336184200796,0.12562442804239382,0.12562442804239382,-0.29230769230769227,13,10
c2_tbr_geQ67_first_reach_s,g2_smaller,2.448962076923085,1.9889440000000214,1.8137035454545214,0.0,-0.6352585314685637,0.25204204106741224,0.12602102053370612,0.886344999888967,0.12602102053370612,0.26573426573426584,13,11
d_tbr_leQ25_mean_sustain_s,g2_larger,5.514398234543113,0.3038291965241915,64.25064091068525,3.15517101365597,58.73624267614213,0.2777870669053022,0.8743755719576062,0.1388935334526511,0.1388935334526511,-0.27692307692307694,13,10
d_tbr_leQ25_max_sustain_s,g2_larger,12.511653923076617,2.999224000000652,99.87411699999932,13.98741199999979,87.3624630769227,0.2777870669053022,0.8743755719576062,0.1388935334526511,0.1388935334526511,-0.27692307692307694,13,10
d_tbr_p75,g2_smaller,0.26736669034855803,0.05846594237772873,-0.14548220694397787,-0.2636171948894326,-0.41284889729253593,0.2888443663464849,0.14442218317324246,0.8675861449766218,0.14442218317324246,0.2564102564102564,13,12
c1_tbr_leQ25_prop_focus,g2_larger,0.25051913846213425,0.25042301184433163,0.25060433164663076,0.2504258943781942,8.519318449651259e-05,0.2977349270624938,0.8634843438988824,0.1488674635312469,0.1488674635312469,-0.25,13,12
d_tbr_leQ33_median_sustain_s,g2_larger,-0.11190388461549852,0.0006380000008050501,60.70927584999966,0.2526290000001161,60.821179734615164,0.3061723762831656,0.8611064665473489,0.1530861881415828,0.1530861881415828,-0.2615384615384615,13,10
c1_tbr_leQ50_mean_sustain_s,g2_larger,6.35848253599011,4.142728134615745,7.76825460228823,6.527983133547059,1.4097720662981201,0.31428698551892353,0.8555778168267576,0.15714349275946177,0.15714349275946177,-0.2435897435897436,13,12
c1_tbr_geQ67_total_time_focus_s,g2_larger,135.77887946154263,128.58917900000256,140.86913841666743,137.55409650000325,5.090258955124796,0.31428698551892353,0.8555778168267576,0.15714349275946177,0.15714349275946177,-0.2435897435897436,13,12
c1_tbr_leQ33_mean_gap_s,g2_smaller,7.277962484104459,6.273728571428942,6.336060879539038,6.000051493277359,-0.9419016045654214,0.3411606266705748,0.1705803133352874,0.8428565072405383,0.1705803133352874,0.23076923076923084,13,12
c2_tbr_leQ25_median_sustain_s,g2_larger,8.910824192307912,1.9936444999998457,61.31335159999939,2.4956169999996973,52.40252740769148,0.3685185409900362,0.8317915832058624,0.1842592704950181,0.1842592704950181,-0.23076923076923073,13,10
c2_tbr_leQ50_first_reach_s,g2_smaller,48.82616984615386,0.9953670000000105,15.159630700000136,1.478461000000003,-33.666539146153724,0.3924581027648728,0.1962290513824364,0.8208250487810118,0.1962290513824364,0.21538461538461529,13,10
c1_tbr_p25,g2_smaller,0.9961531144219206,0.9506820102681641,0.8132854748892319,0.7669581993106905,-0.1828676395326887,0.39917875165278627,0.19958937582639313,0.8152690286262481,0.19958937582639313,0.20512820512820507,13,12
d_tbr_leQ25_first_reach_s,g2_smaller,19.484435000002588,-1.9914120000000217,-43.778296700000055,-6.421105499999936,-63.26273170000265,0.4024607919056016,0.2012303959528008,0.8157407295049819,0.2012303959528008,0.21538461538461529,13,10
c1_tbr_leQ33_median_sustain_s,g2_larger,2.1831270384616266,1.9950360000000202,2.3273413333332806,1.9990209999998054,0.14421429487165405,0.4302896916456853,0.8004106241736069,0.21514484582284266,0.21514484582284266,-0.1923076923076923,13,12
c1_tbr_leQ25_median_gap_s,g2_smaller,4.81076584615439,4.996049999999514,4.98733312500011,4.490911750000443,0.1765672788457202,0.4302896916456853,0.21514484582284266,0.8004106241736069,0.21514484582284266,0.1923076923076923,13,12
c1_tbr_leQ50_total_time_focus_s,g2_larger,230.61348815385662,217.5960960000159,238.587780333336,241.05483200000572,7.9742921794793915,0.4965612172813433,0.7686180147121057,0.24828060864067164,0.24828060864067164,-0.16666666666666663,13,12
d_tbr_mean,g2_smaller,0.6740923409986664,0.13586126312862556,-0.13823949204048164,0.039513022730937486,-0.812331833039148,0.4965612172813433,0.24828060864067164,0.7686180147121057,0.24828060864067164,0.16666666666666674,13,12
d_tbr_leQ33_first_reach_s,g2_smaller,20.486175461541738,-1.9593420000000314,-41.782821899999774,-4.432323999999958,-62.26899736154151,0.5149287781946421,0.25746438909732106,0.7621389114363409,0.25746438909732106,0.1692307692307693,13,10
