subjects x metrics: (25, 152) | groups: {1: 13, 2: 12}

========== Metrics where GROUP 2 IS SUPERIOR (one-sided p < 0.1) ==========
                       metric  favor_dir  g1_mean  g2_mean  diff_g2_minus_g1_mean  p_two_sided  p_favor_g2  cliffs_delta_g1_vs_g2
                   c2_tbr_iqr g2_smaller   1.3022   0.6016                -0.7006       0.0043      0.0021                 0.6795
                    d_tbr_max g2_smaller  54.1576  -6.4292               -60.5868       0.0155      0.0077                 0.5769
                   c2_tbr_p75 g2_smaller   2.2800   1.3815                -0.8984       0.0240      0.0120                 0.5385
                  c2_tbr_mean g2_smaller   2.5956   1.2678                -1.3278       0.0276      0.0138                 0.5256
c2_tbr_leQ33_median_sustain_s  g2_larger   2.0712  63.0024                60.9312       0.0324      0.0162                -0.5385
                   c2_tbr_std g2_smaller   5.2874   1.3638                -3.9236       0.0414      0.0207                 0.4872
                c2_tbr_median g2_smaller   1.5058   1.0307                -0.4751       0.0471      0.0236                 0.4744
   d_tbr_leQ33_mean_sustain_s  g2_larger   0.3689  64.4675                64.0986       0.0586      0.0293                -0.4769
      c1_tbr_leQ50_prop_focus  g2_larger   0.5005   0.5006                 0.0001       0.0665      0.0333                -0.4295
                    d_tbr_std g2_smaller   2.7970  -0.3496                -3.1466       0.0771      0.0385                 0.4231
                   c2_tbr_max g2_smaller  84.9765  18.4567               -66.5197       0.0771      0.0385                 0.4231
  c2_tbr_leQ33_mean_sustain_s  g2_larger   5.1683  68.3545                63.1862       0.0771      0.0386                -0.4462
                    d_tbr_iqr g2_smaller   0.2858  -0.1121                -0.3979       0.0866      0.0433                 0.4103
    c1_tbr_leQ33_median_gap_s g2_smaller   4.8712   3.9510                -0.9202       0.0866      0.0433                 0.4103
                  c1_tbr_mean g2_smaller   1.9215   1.4061                -0.5154       0.0971      0.0486                 0.3974
                   c1_tbr_iqr g2_smaller   1.0164   0.7137                -0.3027       0.0971      0.0486                 0.3974
    d_tbr_leQ50_first_reach_s g2_smaller   3.8974 -23.9369               -27.8344       0.1209      0.0605                 0.3923
                   c1_tbr_p75 g2_smaller   2.0126   1.5270                -0.4856       0.1211      0.0605                 0.3718
  c1_tbr_geQ67_mean_sustain_s  g2_larger   3.7031   4.4047                 0.7015       0.1211      0.0605                -0.3718
   c1_tbr_geQ67_max_sustain_s  g2_larger  16.8982  29.8363                12.9382       0.1347      0.0674                -0.3590
    d_tbr_leQ50_max_sustain_s  g2_larger  -7.2320 117.4136               124.6456       0.1629      0.0814                -0.3538
    c1_tbr_leQ50_median_gap_s g2_smaller   3.7679   3.5790                -0.1889       0.1654      0.0827                 0.3333

========== Top 25 by strongest group-2 advantage ==========
                       metric  favor_dir  g1_mean  g2_mean  diff_g2_minus_g1_mean  p_two_sided  p_favor_g2  cliffs_delta_g1_vs_g2
                   c2_tbr_iqr g2_smaller   1.3022   0.6016                -0.7006       0.0043      0.0021                 0.6795
                    d_tbr_max g2_smaller  54.1576  -6.4292               -60.5868       0.0155      0.0077                 0.5769
                   c2_tbr_p75 g2_smaller   2.2800   1.3815                -0.8984       0.0240      0.0120                 0.5385
                  c2_tbr_mean g2_smaller   2.5956   1.2678                -1.3278       0.0276      0.0138                 0.5256
c2_tbr_leQ33_median_sustain_s  g2_larger   2.0712  63.0024                60.9312       0.0324      0.0162                -0.5385
                   c2_tbr_std g2_smaller   5.2874   1.3638                -3.9236       0.0414      0.0207                 0.4872
                c2_tbr_median g2_smaller   1.5058   1.0307                -0.4751       0.0471      0.0236                 0.4744
   d_tbr_leQ33_mean_sustain_s  g2_larger   0.3689  64.4675                64.0986       0.0586      0.0293                -0.4769
      c1_tbr_leQ50_prop_focus  g2_larger   0.5005   0.5006                 0.0001       0.0665      0.0333                -0.4295
                    d_tbr_std g2_smaller   2.7970  -0.3496                -3.1466       0.0771      0.0385                 0.4231
                   c2_tbr_max g2_smaller  84.9765  18.4567               -66.5197       0.0771      0.0385                 0.4231
  c2_tbr_leQ33_mean_sustain_s  g2_larger   5.1683  68.3545                63.1862       0.0771      0.0386                -0.4462
                    d_tbr_iqr g2_smaller   0.2858  -0.1121                -0.3979       0.0866      0.0433                 0.4103
    c1_tbr_leQ33_median_gap_s g2_smaller   4.8712   3.9510                -0.9202       0.0866      0.0433                 0.4103
                  c1_tbr_mean g2_smaller   1.9215   1.4061                -0.5154       0.0971      0.0486                 0.3974
                   c1_tbr_iqr g2_smaller   1.0164   0.7137                -0.3027       0.0971      0.0486                 0.3974
    d_tbr_leQ50_first_reach_s g2_smaller   3.8974 -23.9369               -27.8344       0.1209      0.0605                 0.3923
                   c1_tbr_p75 g2_smaller   2.0126   1.5270                -0.4856       0.1211      0.0605                 0.3718
