EEG 1, EEG 2, EEG 3, EEG 4, EEG 5, EEG 6, EEG 7, EEG 8, CNT, VALID, DT, TRIG
145987.000,146616.500,-99292.570,146616.500,-27021.820,-21570.070,66840.480,146616.500,1.000,1.000,0.000,0.000
418128.300,492568.800,-316547.300,371419.100,-40738.880,18939.460,258659.800,486611.700,2.000,1.000,13.020,0.000
485418.600,755495.800,-346914.900,400821.600,90892.950,141345.800,494324.300,634929.100,3.000,1.000,2.553,0.000
355555.400,826700.900,-65072.730,447074.900,350986.600,48467.460,681647.300,420751.100,4.000,1.000,2.446,0.000
213319.200,808448.100,294276.900,626209.500,595985.200,-315430.800,777649.400,106401.200,5.000,1.000,2.546,0.000
152238.700,746042.100,576964.700,727705.100,747521.600,-647902.400,780660.300,-223784.500,6.000,1.000,3.456,0.000
323552.900,710811.400,733848.100,770944.400,790230.100,-815277.800,750708.300,-559560.700,7.000,1.000,14.010,0.000
636627.800,742352.400,753610.700,800753.200,761049.400,-835378.300,740567.800,-731791.900,8.000,1.000,25.637,0.000
813456.300,775340.600,727701.300,765813.300,735623.700,-757690.400,750051.600,-756881.400,9.000,1.000,0.010,0.000
799796.400,749583.400,751736.300,707521.800,747443.800,-701841.000,751097.100,-789007.100,10.000,1.000,1.892,0.000
737434.900,712585.100,788337.100,718385.700,760439.600,-738384.300,738412.500,-805710.900,11.000,1.000,2.469,0.000
726041.700,726340.100,761723.800,769000.700,745276.600,-786271.800,732198.100,-750937.400,12.000,1.000,2.536,0.000
733286.900,756541.100,715782.600,762540.100,727666.500,-757429.900,738433.800,-707990.400,13.000,1.000,5.003,0.000
671595.100,731420.400,728652.700,711607.400,735010.800,-707259.400,739998.100,-746183.200,14.000,1.000,2.443,0.000
548932.100,651360.000,767640.700,706386.600,747146.600,-722464.900,729768.000,-787444.600,15.000,1.000,2.547,0.000
443516.800,572902.600,756453.200,746844.100,737213.500,-764692.100,722331.300,-754328.300,16.000,1.000,2.523,0.000
380921.700,507957.200,715256.700,751639.100,720285.400,-751324.200,725849.400,-708391.300,17.000,1.000,2.475,0.000
328803.700,425062.200,715402.200,711193.400,722353.300,-706922.900,728269.200,-727639.800,18.000,1.000,5.005,0.000
272844.000,342065.600,747511.100,697375.900,733056.900,-708724.400,720805.600,-766204.000,19.000,1.000,3.078,0.000
237486.400,310639.400,746652.400,727121.000,727897.800,-743988.900,713062.400,-748882.700,20.000,1.000,0.008,0.000
232994.900,320136.300,713358.600,738286.100,713096.400,-742080.200,714019.000,-707853.300,21.000,1.000,1.493,0.000
233939.000,314634.600,705335.800,708625.300,711145.100,-705837.700,716343.900,-713651.400,22.000,1.000,8.508,0.000
221153.700,287019.300,729029.600,690612.500,719307.000,-698369.900,711235.300,-745844.200,23.000,1.000,0.010,0.000
206108.100,275362.600,734373.300,709913.200,717454.600,-724772.300,703984.900,-739864.400,24.000,1.000,1.894,0.000
202865.700,284805.500,709726.700,723362.700,705517.100,-730010.700,702914.500,-706348.500,25.000,1.000,2.468,0.000
203590.900,282468.100,697430.100,703575.800,701041.200,-702984.400,704503.500,-702999.000,26.000,1.000,4.972,0.000
195612.500,261080.800,712651.400,685025.100,706242.700,-690472.800,701144.200,-727033.500,27.000,1.000,2.558,0.000
183570.300,248548.400,720578.300,695343.900,706242.500,-707759.400,694873.900,-728124.800,28.000,1.000,3.094,0.000
178843.300,254118.200,704022.400,707933.700,697306.600,-716177.600,692420.000,-703084.100,29.000,1.000,0.008,0.000
179541.300,254856.000,690707.300,696135.000,691674.300,-697922.900,692934.500,-694705.100,30.000,1.000,7.902,0.000
175771.400,240328.100,698525.800,679632.600,694023.200,-683962.600,690672.400,-710384.800,31.000,1.000,5.502,0.000
167036.700,228664.900,706214.100,683148.400,694631.100,-693159.700,685580.600,-714712.100,32.000,1.000,0.008,0.000
161331.500,230503.000,696278.400,692865.300,688382.900,-701614.600,682378.200,-697677.400,33.000,1.000,6.930,0.000
160860.400,231949.000,684290.000,686706.300,682685.100,-690645.200,681746.700,-687718.700,34.000,1.000,2.561,0.000
159579.400,222804.000,686462.900,673701.300,682659.800,-677875.400,679985.800,-696063.300,35.000,1.000,2.455,0.000
154061.600,213219.800,692062.600,672818.800,682956.600,-680806.200,676033.100,-700633.900,36.000,1.000,2.546,0.000
148294.200,212328.500,686812.900,678748.100,678796.100,-687188.400,672621.800,-690156.400,37.000,1.000,9.503,0.000
146316.800,213019.900,677509.400,675867.800,673770.600,-681463.600,670976.400,-681108.700,38.000,1.000,0.009,0.000
146053.100,207551.500,676046.400,666787.000,672050.600,-671462.300,669246.300,-683875.000,39.000,1.000,1.930,0.000
143266.300,200578.300,678669.000,663738.600,671481.900,-670273.100,666227.400,-686719.800,40.000,1.000,8.559,0.000
138229.000,198160.500,676111.000,665882.600,668688.600,-673517.000,662999.800,-680850.800,41.000,1.000,3.079,0.000
134945.100,197443.800,669948.100,664245.500,664712.700,-670885.100,660599.600,-674165.800,42.000,1.000,0.009,0.000
134700.700,194139.900,666750.300,658724.600,662024.200,-664242.300,658589.200,-673386.500,43.000,1.000,1.902,0.000
134005.200,189830.900,666323.900,655298.100,660377.300,-661002.900,656210.100,-673547.300,44.000,1.000,11.522,0.000
130230.400,186992.500,664712.500,654310.600,658250.300,-660943.900,653395.400,-670266.400,45.000,1.000,5.596,0.000
126054.700,184732.600,661435.800,652410.600,655388.600,-659488.800,650551.400,-666447.700,46.000,1.000,0.010,0.000
125117.100,182234.800,658044.200,649579.400,652381.900,-656003.100,648110.400,-664049.100,47.000,1.000,1.873,0.000
125715.800,180161.300,655087.300,646981.300,649719.700,-652420.900,646059.200,-661424.900,48.000,1.000,6.003,0.000
123513.900,177860.300,653030.100,643877.100,647678.700,-649559.900,643734.600,-658966.100,49.000,1.000,6.680,0.000
119139.100,174513.800,650390.400,640810.900,645763.500,-647822.300,640746.000,-657773.100,50.000,1.000,0.014,0.000
117305.700,171990.500,643338.100,639577.500,642934.700,-646762.200,637862.300,-655310.100,51.000,1.000,7.795,0.000
118443.400,171517.800,632132.900,638416.800,639505.900,-644024.700,635863.400,-650417.300,52.000,1.000,0.010,0.000
117700.400,170240.400,622001.900,634304.500,637147.700,-639255.300,633985.500,-647471.800,53.000,1.000,1.937,0.000
113595.800,166270.100,615467.300,629736.900,635873.100,-636328.700,631095.300,-648179.600,54.000,1.000,6.157,0.000
110848.100,163131.600,608601.400,629028.600,633528.900,-636703.300,627857.300,-646695.400,55.000,1.000,3.879,0.000
111906.400,163506.300,598250.400,629395.000,629673.900,-635439.300,625706.500,-640400.800,56.000,1.000,4.033,0.000
112397.400,163486.500,588617.000,625267.700,626787.300,-629790.000,624152.400,-636196.400,57.000,1.000,0.012,0.000
109011.800,159529.100,583786.000,619320.000,625798.900,-625308.600,621522.400,-637859.000,58.000,1.000,13.528,0.000
105592.300,155637.300,579307.100,618257.200,624059.600,-626104.800,618076.900,-637860.900,59.000,1.000,3.038,0.000
106142.000,156189.200,569938.000,619856.500,620128.300,-626440.600,615655.600,-631133.000,60.000,1.000,0.008,0.000
107473.500,157327.900,559960.300,616455.900,616675.800,-620864.300,614265.200,-624921.800,61.000,1.000,1.913,0.000
105045.900,153879.300,555654.900,609555.300,615644.200,-614911.100,611971.300,-623169.100,62.000,1.000,3.450,0.000
101291.000,149317.900,553177.100,607548.800,614474.600,-615271.800,608481.900,-616004.700,63.000,1.000,9.023,0.000
101110.000,149507.700,545321.600,609861.000,610763.400,-616949.300,605754.900,-597304.300,64.000,1.000,4.026,0.000
102868.800,151531.800,535204.500,607617.500,606840.900,-612180.900,604368.500,-577241.000,65.000,1.000,0.015,0.000
101483.700,148977.200,530731.900,600301.500,605469.000,-605151.600,602409.200,-566485.200,66.000,1.000,15.969,0.000
97771.570,144059.900,529658.600,596573.300,604206.400,-604481.700,598612.700,-559017.300,67.000,1.000,2.994,0.000
96819.310,143577.100,523549.200,597551.800,599457.400,-607005.500,594240.300,-543833.300,68.000,1.000,0.007,0.000
98592.590,146098.800,513612.000,594492.300,593143.600,-603491.000,590658.600,-525298.100,69.000,1.000,2.023,0.000
98142.840,144597.800,508541.100,585227.300,589174.100,-595944.000,586785.200,-514619.800,70.000,1.000,5.612,0.000
94778.730,139652.400,508203.600,578779.100,586637.600,-593947.800,581581.500,-508661.800,71.000,1.000,0.011,0.000
93180.130,138329.100,503859.500,579047.300,582142.100,-596731.000,576639.100,-495968.600,72.000,1.000,1.873,0.000
94684.980,140904.900,494529.700,577668.900,576280.300,-594620.800,573350.000,-478346.800,73.000,1.000,2.440,0.000
94983.800,140444.900,488755.600,569691.000,572405.300,-587020.100,570268.700,-467254.500,74.000,1.000,8.616,0.000
92170.980,135843.500,488562.600,562689.700,570304.800,-583102.300,565778.900,-462204.200,75.000,1.000,9.448,0.000
90092.650,133754.200,485786.800,562424.800,566642.100,-584398.600,561047.300,-451934.200,76.000,1.000,0.013,0.000
91115.020,136050.900,477418.000,562187.100,561196.000,-582082.900,557793.400,-435611.800,77.000,1.000,2.557,0.000
91918.660,136490.800,471052.700,555557.100,557191.800,-573680.600,555122.800,-424033.800,78.000,1.000,0.012,0.000
89785.730,132499.500,470548.300,548264.700,555249.900,-567860.300,551257.900,-419234.500,79.000,1.000,7.929,0.000
87467.880,129794.700,469000.500,547201.400,552316.100,-568431.400,546810.600,-411035.900,80.000,1.000,9.482,0.000
87910.450,131541.800,461816.300,547663.600,547394.000,-567524.800,543549.900,-396300.800,81.000,1.000,0.012,0.000
88934.160,132630.100,455075.000,542453.400,543290.000,-560427.100,541119.900,-384402.000,82.000,1.000,2.571,0.000
87471.720,129412.500,453932.100,535208.700,541311.400,-554079.400,537789.700,-379402.000,83.000,1.000,0.013,0.000
85129.770,126321.300,453183.400,533238.200,538931.400,-553861.400,533662.300,-372843.100,84.000,1.000,10.376,0.000
84997.060,127364.800,447262.300,533947.900,534578.400,-553810.100,530381.200,-359878.800,85.000,1.000,7.689,0.000
86023.500,128831.000,440457.300,530082.300,530460.100,-548046.300,528065.300,-347927.900,86.000,1.000,0.014,0.000
85195.790,126478.100,438579.900,523226.500,528341.800,-541495.900,525182.200,-342406.900,87.000,1.000,0.004,0.000
83059.950,123290.000,438264.900,520420.800,526348.400,-540343.300,521413.400,-336951.300,88.000,1.000,5.330,0.000
82480.190,123622.400,433610.100,521008.900,522574.600,-540698.000,518145.800,-325727.800,89.000,1.000,0.012,0.000
83343.520,125190.900,427057.900,518287.400,518541.800,-536246.300,515851.500,-314032.900,90.000,1.000,1.970,0.000
82984.410,123627.900,424435.600,512064.200,516222.300,-529868.900,513294.900,-307937.900,91.000,1.000,11.538,0.000
81140.710,120549.900,424162.900,508586.200,514435.600,-527835.500,509876.300,-303187.800,92.000,1.000,7.114,0.000
80229.000,120231.400,420607.600,508776.900,511192.200,-528215.100,506661.800,-293622.600,93.000,1.000,0.010,0.000
80823.580,121673.700,414551.500,506927.400,507340.300,-524917.800,504338.800,-282486.700,94.000,1.000,0.004,0.000
80792.090,120784.800,411317.300,501496.600,504829.500,-518989.200,502009.000,-275856.700,95.000,1.000,2.835,0.000
79313.680,117999.300,410820.700,497585.300,503112.400,-516210.700,498922.000,-271425.700,96.000,1.000,3.548,0.000
78211.390,117147.800,408129.400,497220.300,500316.600,-516324.700,495802.200,-263320.800,97.000,1.000,14.917,0.000
78481.490,118283.600,402722.400,495939.900,496712.500,-513953.200,493426.500,-252989.500,98.000,1.000,9.010,0.000
78622.030,117901.100,399078.600,491352.400,494054.900,-508667.500,491233.800,-245969.800,99.000,1.000,5.645,0.000
77525.490,115538.100,398215.100,487262.900,492310.900,-505352.300,488443.900,-241562.500,100.000,1.000,0.021,0.000
76378.840,114338.200,396145.300,486303.600,489868.600,-504994.800,485462.200,-234641.100,101.000,1.000,1.251,0.000
76341.270,115089.200,391452.400,485313.200,486556.200,-503251.900,483043.400,-225264.000,102.000,1.000,2.410,0.000
76518.930,115033.500,387596.300,481525.600,483817.400,-498698.000,480918.300,-218077.100,103.000,1.000,2.408,0.000
75752.070,113139.900,386280.400,477481.200,481985.300,-495104.400,478372.900,-213540.200,104.000,1.000,2.421,0.000
74664.700,111765.400,384569.300,475973.800,479791.300,-494218.600,475552.700,-207520.600,105.000,1.000,2.697,0.000
74364.750,112099.200,380563.900,475036.700,476774.400,-492844.500,473109.400,-199148.200,106.000,1.000,0.030,0.000
74468.530,112170.200,376686.000,471931.400,474019.100,-489013.100,470999.000,-192010.100,107.000,1.000,11.879,0.000
73953.340,110686.000,374930.300,468099.600,472071.600,-485352.200,468637.300,-187270.500,108.000,1.000,6.903,0.000
72989.910,109245.200,373356.100,466148.500,470026.800,-483944.300,465983.500,-181876.200,109.000,1.000,0.017,0.000
72493.770,109187.200,369959.100,465097.900,467286.900,-482699.000,463545.500,-174455.400,110.000,1.000,0.005,0.000
72467.590,109254.300,366228.600,462524.000,464580.000,-479511.300,461425.500,-167548.500,111.000,1.000,3.527,0.000
72121.210,108116.800,364111.000,459010.700,462521.500,-475976.200,459191.400,-162635.200,112.000,1.000,0.016,0.000
71325.830,106737.500,362530.800,456755.600,460547.100,-474140.600,456697.800,-157635.500,113.000,1.000,1.865,0.000
70744.130,106398.800,359656.600,455497.100,458046.900,-472849.800,454297.100,-151030.300,114.000,1.000,10.921,0.000
70597.450,106409.800,356208.700,453289.700,455435.700,-470173.300,452159.300,-144468.300,115.000,1.000,7.078,0.000
70351.790,105582.100,353860.900,450140.600,453295.200,-466880.800,450008.100,-139426.000,116.000,1.000,0.016,0.000
69727.270,104365.800,352179.300,447726.300,451337.300,-464740.400,447659.200,-134641.700,117.000,1.000,13.397,0.000
69119.230,103821.800,349669.700,446225.600,449024.100,-463300.200,445317.100,-128730.600,118.000,1.000,0.017,0.000
68826.660,103683.600,346523.300,444229.400,446533.900,-460985.200,443164.400,-122627.900,119.000,1.000,1.944,0.000
68592.610,103036.100,344040.600,441433.500,444347.500,-457987.700,441060.000,-117577.500,120.000,1.000,3.985,0.000
68120.330,102002.400,342210.800,438985.600,442372.500,-455663.700,438831.100,-112916.000,121.000,1.000,4.042,0.000
67551.070,101352.600,339942.100,437261.800,440194.200,-454015.400,436564.500,-107555.600,122.000,1.000,0.014,0.000
67163.050,101064.400,337115.000,435354.500,437836.000,-451915.300,434412.100,-101948.300,123.000,1.000,5.929,0.000
66902.480,100504.300,334604.200,432856.600,435636.800,-449228.300,432325.400,-97017.230,124.000,1.000,6.655,0.000
66527.370,99637.070,332611.300,430459.900,433623.000,-446855.700,430179.600,-92459.520,125.000,1.000,0.011,0.000
66015.140,98967.200,330459.900,428560.500,431528.700,-445016.000,427990.800,-87518.790,126.000,1.000,2.352,0.000
65561.490,98570.030,327911.500,426655.500,429297.800,-443018.400,425856.100,-82380.860,127.000,1.000,0.011,0.000
65251.660,98066.600,325466.600,424393.900,427129.000,-440602.500,423784.900,-77619.400,128.000,1.000,13.536,0.000
64940.540,97360.020,323357.300,422118.800,425090.600,-438263.300,421707.800,-73116.610,129.000,1.000,3.045,0.000
64493.170,96709.520,321232.800,420112.800,423042.900,-436258.000,419596.300,-68461.860,130.000,1.000,0.011,0.000
63988.450,96195.430,318881.300,418153.900,420913.900,-434264.300,417487.600,-63749.300,131.000,1.000,1.907,0.000
63601.790,95667.660,316534.800,416040.400,418789.500,-432059.700,415419.000,-59240.020,132.000,1.000,11.044,0.000
63329.510,95086.450,314367.400,413905.300,416735.100,-429822.300,413384.000,-54823.860,133.000,1.000,5.465,0.000
62979.910,94514.710,312243.000,411863.300,414710.400,-427719.200,411344.300,-50357.920,134.000,1.000,0.011,0.000
62490.880,93944.610,310043.500,409841.100,412665.800,-425682.200,409279.400,-45982.180,135.000,1.000,5.961,0.000
62047.420,93368.270,307827.100,407809.800,410604.000,-423615.200,407221.400,-41750.020,136.000,1.000,6.651,0.000
61764.240,92837.110,305642.200,405806.400,408548.600,-421510.500,405209.100,-37478.920,137.000,1.000,0.012,0.000
61472.290,92322.080,303484.000,403775.300,406521.600,-419385.900,403218.600,-33180.590,138.000,1.000,1.863,0.000
61015.800,91732.270,301384.200,401692.100,404529.400,-417294.500,401197.300,-29075.180,139.000,1.000,2.457,0.000
60536.710,91115.840,299312.900,399686.900,402532.900,-415296.600,399156.800,-25110.180,140.000,1.000,2.540,0.000
60223.030,90610.900,297160.700,397794.700,400498.600,-413309.700,397161.600,-21009.160,141.000,1.000,4.007,0.000
59974.780,90169.600,294965.200,395825.300,398474.900,-411192.700,395216.300,-16840.610,142.000,1.000,11.499,0.000
59577.490,89600.630,292891.300,393713.200,396518.800,-409039.600,393245.400,-12949.130,143.000,1.000,0.013,0.000
59088.440,88940.060,290910.700,391696.100,394581.000,-407064.400,391228.800,-9267.827,144.000,1.000,2.573,0.000
58737.970,88421.240,288809.300,389878.400,392581.400,-405184.500,389245.600,-5387.303,145.000,1.000,0.014,0.000
58501.790,88021.140,286583.700,387986.500,390558.900,-403127.400,387327.800,-1359.654,146.000,1.000,8.369,0.000
58144.820,87479.090,284496.200,385871.800,388615.900,-400944.400,385398.600,2372.689,147.000,1.000,2.096,0.000
57659.610,86792.340,282591.800,383826.900,386727.600,-398957.300,383413.600,5838.092,148.000,1.000,6.433,0.000
57279.510,86244.230,280581.300,382048.800,384774.400,-397157.900,381444.300,9520.735,149.000,1.000,7.089,0.000
57051.090,85876.320,278380.600,380243.800,382766.100,-395188.300,379549.500,13443.220,150.000,1.000,0.012,0.000
56751.640,85396.550,276294.500,378165.600,380832.900,-393001.200,377664.000,17093.120,151.000,1.000,8.406,0.000
56288.720,84719.130,274444.800,376091.500,378979.500,-390971.800,375714.000,20375.240,152.000,1.000,0.011,0.000
55862.560,84137.520,272522.800,374311.500,377067.300,-389206.200,373752.700,23803.260,153.000,1.000,1.916,0.000
55598.880,83780.700,270365.300,372574.300,375074.000,-387325.800,371864.500,27534.180,154.000,1.000,4.040,0.000
55326.670,83361.020,268273.000,370553.700,373142.800,-385169.000,370011.300,31061.950,155.000,1.000,9.025,0.000
54900.760,82704.020,266450.100,368467.200,371316.500,-383105.400,368103.400,34168.870,156.000,1.000,0.013,0.000
54461.980,82070.480,264610.900,366671.400,369453.500,-381349.700,366164.500,37333.870,157.000,1.000,1.919,0.000
54172.240,81669.030,262511.000,364989.800,367491.100,-379552.200,364286.500,40826.890,158.000,1.000,6.181,0.000
53915.510,81265.560,260409.200,363041.000,365562.100,-377449.100,362457.800,44203.520,159.000,1.000,4.474,0.000
53515.620,80629.420,258588.700,360955.300,363746.500,-375357.200,360586.000,47157.800,160.000,1.000,0.013,0.000
53068.810,79978.220,256836.200,359130.000,361924.900,-373582.200,358671.600,50108.360,161.000,1.000,3.341,0.000
