condition 1 time (s),condition 1 tbr,condition 1 nai,condition 2 time (s),condition 2 tbr,condition 2 nai
4.0,37.32887198516318,0.0,4.0,32.562003462140076,0.0
5.0,31.616507865075256,0.0,5.0,26.999296873929374,0.0
6.0,22.091707545403,0.0,6.0,20.114129554147517,0.0
7.0,14.949971361892814,0.0,7.0,14.373997993587345,0.0
8.0,10.454391672325077,0.0,8.0,11.210549339069306,0.0
9.0,6.013062575208252,0.0,9.0,7.601414672552679,0.0
10.0,3.34085811705534,0.057104316546762575,10.0,4.420261310739356,0.0
11.0,2.2728555547685567,0.6951438848920864,11.0,2.7604118900159476,0.21507793764988004
12.0,2.073560866628644,0.8839928057553956,12.0,2.88412773362651,0.09042052072627607
13.0,1.8216985657117846,0.9949126413155189,13.0,2.500821445395499,0.46565604659129833
14.0,1.777894538757076,1.0,14.0,2.126032995934123,0.8375299760191846
15.0,2.161709880139621,0.7984755053100376,15.0,2.2414935724793077,0.7257194244604317
16.0,2.4117582924739485,0.5641486810551559,16.0,1.9207534149512586,0.9562564234326825
17.0,2.1122747609280905,0.8441675231243578,17.0,1.5232601762003881,1.0
18.0,1.7891834736297811,1.0,18.0,1.5309818431912792,1.0
19.0,1.5174674944315576,1.0,19.0,1.7875446424393096,1.0
20.0,1.4287732140250013,1.0,20.0,1.747836582937187,1.0
21.0,1.6054322011341282,1.0,21.0,1.6243397439108544,1.0
22.0,1.481948319889403,1.0,22.0,1.5102720399000784,1.0
23.0,1.3645663085789084,1.0,23.0,1.756192162706269,0.9843910585817061
24.0,1.7451405983039825,0.9816932168550874,24.0,2.456089076096406,0.5131894484412469
25.0,2.484234523751553,0.4865107913669065,25.0,2.4841016128091984,0.4859112709832134
26.0,2.8228960803651195,0.13540596094552926,26.0,2.369703503823507,0.6031175059952039
27.0,3.06158619403617,0.00404676258992805,27.0,2.4659858530571386,0.5044964028776979
28.0,3.089910051790045,0.0,28.0,2.1206159083148424,0.8365236382322714
29.0,2.721266489034215,0.24773038711887624,29.0,1.9347765673774242,0.9953751284686536
30.0,2.076957766184454,0.8552800616649539,30.0,1.948382287035121,0.9801515930113052
31.0,1.5419854812543896,1.0,31.0,1.7258610718639726,1.0
32.0,1.2469816498266337,1.0,32.0,1.5482886481448648,1.0
33.0,1.225880500359364,1.0,33.0,1.480735357923542,1.0
34.0,1.313096519454426,1.0,34.0,1.9494889284775883,0.8908872901678657
35.0,1.5987452168072107,1.0,35.0,2.5263896151470275,0.44304556354916064
36.0,2.4622973812396802,0.4996145940390544,36.0,2.5076228152984292,0.4622302158273381
37.0,3.2236120616359236,0.0,37.0,2.4586744965387073,0.5147482014388489
38.0,3.2817550538299387,0.0,38.0,2.1340940420891394,0.8241692360397397
39.0,2.685565979991945,0.28387290167865703,39.0,1.918707799014498,0.9959532374100719
40.0,2.225833582332517,0.7410071942446045,40.0,1.7196598988618326,1.0
41.0,2.4689664944345124,0.5014988009592326,41.0,1.6381965185592058,1.0
42.0,2.528766657311407,0.4382494004796163,42.0,2.098532704087928,0.8523038711887634
43.0,2.0627953724445063,0.8721951010620075,43.0,2.0792312580813825,0.8724306269270299
44.0,1.7018073469772617,1.0,44.0,1.7938937893838365,1.0
45.0,1.7273029133724798,1.0,45.0,1.80896196305707,1.0
46.0,1.8233530198590637,1.0,46.0,1.569975689282077,1.0
47.0,1.9729260300139144,0.9585688591983557,47.0,1.4100284921841453,1.0
48.0,2.236391704205852,0.7311151079136691,48.0,1.3451684275396159,1.0
49.0,2.321591389162279,0.6480815347721822,49.0,1.3556831379009466,1.0
50.0,2.333801978000148,0.6366906474820144,50.0,1.435735030407069,1.0
51.0,2.3388069737812023,0.6315947242206235,51.0,1.5285717071326632,1.0
52.0,2.2322248172799224,0.7320786228160329,52.0,1.2597595185150987,1.0
53.0,1.8074749702769566,1.0,53.0,1.0759732633793602,1.0
54.0,2.0197870756985927,0.9269655704008221,54.0,1.2041394633257776,1.0
55.0,1.6572144234091541,1.0,55.0,1.4396075025800172,1.0
56.0,1.452965432984604,1.0,56.0,1.7961485518415725,1.0
57.0,1.65408460289606,1.0,57.0,2.090437399694763,0.8597978759849263
58.0,1.3916856205603219,1.0,58.0,2.4717282564544925,0.500599520383693
59.0,1.0375316599933755,1.0,59.0,2.522210436217285,0.4460431654676259
60.0,1.1452464353717304,1.0,60.0,2.2464195080857543,0.7202809181226448
61.0,2.758468724440169,0.41861510791366907,61.0,1.95712174233612,0.9788026721479959
62.0,5.503851967876671,0.0,62.0,1.9842577039104834,0.9589542651593012
63.0,4.64015210097398,0.0,63.0,2.3213046712758567,0.6465827338129497
64.0,2.4968544908650916,0.4883949982870846,64.0,2.8561907178967605,0.12217368961973274
65.0,1.573383304432301,1.0,65.0,3.0899547432131085,0.0
66.0,1.5665651910311842,1.0,66.0,2.868877168998179,0.1197756080849606
67.0,2.1612219539775532,0.7947070914696814,67.0,2.3507371240082935,0.6172062350119905
68.0,2.3973723838645076,0.5779376498800959,68.0,1.8826178250935282,0.9643499486125385
69.0,2.14243460618013,0.8215784515244946,69.0,1.4529676707981967,1.0
70.0,2.342085623993918,0.6255995203836929,70.0,1.3348772289850164,1.0
71.0,2.5947088689914457,0.37320143884892076,71.0,1.2970786468932913,1.0
72.0,1.9585427142672807,0.8928999657416923,72.0,1.3541495501627712,1.0
73.0,1.3983657816155346,1.0,73.0,1.755957293017196,1.0
74.0,1.3810538440847768,1.0,74.0,1.8004093588599333,1.0
75.0,1.2974842451753132,1.0,75.0,1.8792640801428513,0.9809224049331963
76.0,1.385487205084535,1.0,76.0,2.090418298533123,0.8703108941418293
77.0,1.8420719367200435,0.970516443987667,77.0,1.915769568471541,0.99094295991778
78.0,2.468824613959666,0.5005995203836929,78.0,1.8740383788175148,1.0
79.0,2.565551065818308,0.40347721822541965,79.0,1.9546289190759538,0.9666623843782116
80.0,2.264234582935408,0.703537170263789,80.0,2.377293498698917,0.5888489208633094
81.0,1.9719564713459417,0.9354659129838986,81.0,2.5766272193484143,0.3920863309352518
82.0,1.5650655165127791,1.0,82.0,2.1311478610772743,0.8258179170948956
83.0,1.2511289128194907,1.0,83.0,1.9279040757533483,0.9892086330935252
84.0,0.9225003209465689,1.0,84.0,2.072987190751603,0.8847636176772867
85.0,0.9567013044819932,1.0,85.0,2.021670877800796,0.9283144912641315
86.0,1.6872365245719851,0.9786742034943474,86.0,2.3310300763022207,0.6378896882494005
87.0,2.862325982368788,0.16784429599177797,87.0,2.353300926402155,0.6169064748201438
88.0,1.9029927833981681,0.8573141486810553,88.0,1.7503762712378759,0.99094295991778
89.0,1.3140792016821077,1.0,89.0,1.3748568337197908,1.0
90.0,1.5005339866913725,1.0,90.0,1.3094063153157918,1.0
91.0,1.6432279965651901,1.0,91.0,1.4159368985844338,1.0
92.0,1.9527099680071593,0.9355772524837273,92.0,1.4310759711492036,1.0
93.0,2.0161870783005122,0.8980387118876327,93.0,1.2124837479476458,1.0
94.0,2.679596183775673,0.2865707434052758,94.0,1.0260731432448724,1.0
95.0,3.103566107383158,0.0021197327852004,95.0,1.3040845672947936,1.0
96.0,3.334847201176037,0.0,96.0,1.7504134225373689,1.0
97.0,9.517479703296303,0.0,97.0,1.779564311856671,1.0
98.0,24.271358562826215,0.0,98.0,1.9794198491920267,0.9568345323741005
99.0,21.741540987608587,0.0,99.0,1.7520473422602978,1.0
100.0,15.917984554672408,0.0,100.0,1.5902478237620103,1.0
101.0,12.49588509061138,0.0,101.0,1.9099179684593692,0.9811151079136691
102.0,9.882064249516953,0.0,102.0,2.0259006371422847,0.9265801644398766
103.0,6.964819913983095,0.0,103.0,1.9709882227983393,0.9691675231243576
104.0,4.1008430254404,0.0,104.0,2.0372537124948282,0.9118191161356629
105.0,2.623108833347753,0.36016187050359716,105.0,1.6104996984737352,1.0
106.0,2.0210103634578145,0.9243319630010277,106.0,1.4041064360703044,1.0
107.0,1.8940118105757184,1.0,107.0,1.2956349940983543,1.0
108.0,1.9647915146697712,0.9739850976361768,108.0,1.3578231875554727,1.0
109.0,1.9031738358888166,1.0,109.0,1.7745042324601028,1.0
110.0,2.2813120741123156,0.6790210688591984,110.0,1.7998904453854356,1.0
111.0,3.057610580384647,0.023509763617677273,111.0,1.7582986952357413,1.0
112.0,3.404706408110666,0.0,112.0,1.6407080066488076,1.0
113.0,4.615045829635382,0.0,113.0,1.4770853915263997,1.0
114.0,6.676180091537873,0.0,114.0,1.75057344067626,1.0
115.0,5.38704495524207,0.0,115.0,2.1410562768548247,0.8220923261390887
116.0,3.5212381490241302,0.0,116.0,2.1110757821740473,0.845516443987667
117.0,2.4564467519824564,0.5047961630695443,117.0,1.7218723762591868,1.0
118.0,1.9089582757197272,0.9811151079136691,118.0,1.4109853095874059,1.0
119.0,1.6831718873700083,1.0,119.0,1.4366800797775259,1.0
120.0,1.4310656657863197,1.0,120.0,1.8228929294063,0.9782245632065776
121.0,1.182254329469892,1.0,121.0,2.406036188850859,0.5620503597122302
122.0,1.2872273013958533,1.0,122.0,2.5555354288745313,0.41306954436450827
123.0,1.6409298219639301,1.0,123.0,2.1025401256524554,0.8399922918807811
124.0,2.1053408122100903,0.8375299760191846,124.0,1.756317836814245,1.0
125.0,2.6107523150854153,0.3567146282973621,125.0,1.9452280335525918,0.9554856115107913
126.0,2.6038129359975626,0.36390887290167867,126.0,2.430032408889414,0.5368705035971223
127.0,2.0950503046190034,0.8561793422404933,127.0,2.508541117751174,0.46247002398081527
128.0,1.8447015364570925,1.0,128.0,2.6722456039249716,0.2868705035971223
129.0,1.8535057838638374,1.0,129.0,2.471338105747069,0.49220623501199035
130.0,2.171615013930801,0.7817574511819116,130.0,1.8969929100942764,0.9857399794450155
131.0,2.982148213591797,0.08699468996231585,131.0,2.105403316191194,0.8497130866735183
132.0,3.5382869244378954,0.0,132.0,1.9031125224880303,0.943880609797876
133.0,3.6504538090732197,0.0,133.0,1.4089131330559423,1.0
134.0,3.5244458089806074,0.0,134.0,1.2773948133511759,1.0
135.0,2.84594176636042,0.18131209318259678,135.0,1.1152016483824458,1.0
136.0,2.1699048143132527,0.7948355601233299,136.0,1.1493652582903156,1.0
137.0,2.224248988036129,0.7437050359712232,137.0,1.3910258899198311,1.0
138.0,2.132622278735739,0.8287941075710861,138.0,1.6712558806784994,1.0
139.0,2.028863653023281,0.9215698869475848,139.0,1.9086943719579583,0.9917137718396711
140.0,2.602055182456973,0.37305155875299756,140.0,1.9403009395731239,0.9840056526207606
141.0,3.256014982803819,0.0,141.0,1.9304271464141436,0.981115107913669
142.0,2.882294922326266,0.13527749229188074,142.0,2.2261363257732616,0.7389302843439536
143.0,2.4043643924877616,0.5692446043165468,143.0,2.244090070947122,0.7235568687906817
144.0,2.792125843763068,0.1881637547105173,144.0,1.8221277274686196,0.9890159301130523
145.0,2.7693936077618355,0.21895340870161012,145.0,1.6413398403582748,1.0
146.0,1.8919759017927866,0.9364294278862624,146.0,1.9035293252875316,0.9820786228160328
147.0,1.5534052909471916,1.0,147.0,1.8678352402622973,0.9903648509763617
148.0,1.7509460688570946,1.0,148.0,1.6978065233360855,1.0
149.0,1.8874529428505828,1.0,149.0,1.6851578319413023,1.0
150.0,1.6158816817020103,1.0,150.0,1.5748346700329268,1.0
151.0,1.4550445492936999,1.0,151.0,1.6736019278240297,1.0
152.0,2.435692279298237,0.523359883521754,152.0,1.9027693604063665,0.9882451181911613
153.0,3.2778405689510697,0.0,153.0,2.0212216129950042,0.9290853031860226
154.0,2.886173735769304,0.11088272239351372,154.0,1.9832708011637468,0.9601104830421376
155.0,2.3152749667235257,0.6516786570743406,155.0,1.8805229522922662,0.9739850976361768
156.0,2.189198909544915,0.7757793764988009,156.0,1.3158434838032493,1.0
157.0,2.498214053961513,0.4697242206235012,157.0,1.1836747658736415,1.0
158.0,2.6137230040376442,0.35191846522781767,158.0,1.3100458263545285,1.0
159.0,2.5573716225068646,0.40947242206235,159.0,1.4297437693278874,1.0
160.0,3.0091100327981826,0.060337444330250053,160.0,1.4365786573155483,1.0
161.0,3.6921568463333783,0.0,161.0,1.3935703416405156,1.0
162.0,4.533041655977705,0.0,162.0,1.5774597224679614,1.0
163.0,3.8728925205042395,0.0,163.0,1.9847345486007515,0.9427672147995889
164.0,2.8807577027297633,0.128704179513532,164.0,2.1020796354401132,0.8611039739636861
165.0,2.280782021833151,0.6826181911613567,165.0,2.2432153519901608,0.7230215827338129
166.0,1.691187278541756,1.0,166.0,2.2269770077599444,0.7379453579993148
167.0,1.2976847586256905,1.0,167.0,1.6952913133437637,1.0
168.0,1.221075217676908,1.0,168.0,1.273668475708714,1.0
169.0,1.4492941104243984,1.0,169.0,1.0311538574986088,1.0
170.0,2.014190395686165,0.841983556012333,170.0,1.1854363260992953,1.0
171.0,3.8200520832770013,0.0021197327852004,171.0,1.626021979325302,1.0
172.0,5.142805432653001,0.0,172.0,1.8174322714089834,1.0
173.0,4.354791740576928,0.0,173.0,1.6835798508410715,1.0
174.0,3.441502059389365,0.0,174.0,1.7043562716430225,1.0
175.0,2.7117679144588074,0.2647738951695786,175.0,1.6151868612543439,1.0
176.0,2.021660112761252,0.9180584104145255,176.0,1.5262942794085292,1.0
177.0,2.1005755329546822,0.8545220966084275,177.0,1.6090578856110054,1.0
178.0,2.393519136003483,0.5773381294964028,178.0,1.4956446003839037,1.0
179.0,2.582517854464885,0.382494004796163,179.0,1.5534726687616256,1.0
180.0,2.149712276597667,0.8013446385748544,180.0,1.5945499771785185,1.0
181.0,1.657651796253914,1.0,181.0,1.4629007662304043,1.0
182.0,1.5748822915365002,1.0,182.0,1.4063542619861555,1.0
183.0,1.827838057377553,0.9988437821171634,183.0,1.207940503017504,1.0
184.0,1.9966281072089602,0.9487410071942446,184.0,1.2673033946097576,1.0
185.0,1.8616492110394323,0.993448098663926,185.0,1.6396176636603688,1.0
186.0,1.492354366668625,1.0,186.0,1.8276640056180968,1.0
187.0,1.7631062448018304,0.9503896882494005,187.0,1.724427218677842,1.0
188.0,2.960925609584067,0.1451267557382665,188.0,1.906818873932535,0.9739850976361768
189.0,3.748861841471367,0.0,189.0,2.016025294481304,0.9215698869475848
190.0,3.66145857152869,0.0,190.0,1.683922330766635,1.0
191.0,3.0215068511294447,0.052522267899965724,191.0,2.212801487879815,0.7216726618705036
192.0,2.3790241175808617,0.592326139088729,192.0,2.878410635148742,0.09269013360739975
